Species,Zoo_FB,Zoo_Atlas,Zoo_final,MaxLengthTL,Troph,TempPrefMean,TempPrefMax,TempPrefMin,DepthMin,DepthMax,Fecmin,Fecmax,FeedingType,AgeMatMin,Lm,DemersPelag,Depth_range,TempRange,Fecundity,nlimit,slimit,nlimit_book,slimit_book,Fisheries
Boreogadus saida,polar,arctic,arctic,40,3.12,0.2,4,-1.3,0,1383,16700,43066.67,hunting macrofauna (predator),2.67,NA,demersal,1383,5.3,38233.33333,north,barents,north,barents,HIGHLY COMMERCIAL
Arctogadus glacialis,deep-water,arctic,arctic,32.5,3.21,-0.1,1.6,-1.3,0,1000,NA,NA,hunting macrofauna (predator),NA,NA,pelagic,1000,2.9,NA,north,barents,north,barents,NO
Myoxocephalus quadricornis,polar,arctic,arctic,60,3.85,-1,4.3,-1.8,0,100,1430.67,10666.67,variable,5.67,15.5,demersal,100,6.1,6764,barents,north,barents,barents,NO
Amblyraja hyperborea,deep-water,arctic,arctic,112,4.31,3.3,8.8,0.3,92,2925,NA,NA,hunting macrofauna (predator),NA,NA,demersal,2833,8.5,NA,north,south,north,north,NO
Aspidophoroides olrikii,polar,arctic,arctic,8.6,3.32,-0.6,1.8,-1.6,0,632,260,NA,hunting macrofauna (predator),NA,NA,demersal,632,3.4,260,north,barents,barents,south,NO
Careproctus micropus,deep-water,arctic,arctic,10,3.18,3.4,7.6,0.3,100,1800,NA,NA,NA,NA,NA,demersal,1700,7.3,NA,na,na,barents,norwegian,NO
Careproctus reinhardti,deep-water,arctic,arctic,30,3.75,3,8.6,0.4,75,1750,NA,NA,variable,NA,NA,demersal,1675,8.2,NA,barents,norwegian,north,norwegian,NO
Cyclopteropsis mcalpini,polar,arctic,arctic,7.5,3.22,NA,NA,NA,109,329,NA,NA,NA,NA,NA,demersal,220,NA,NA,north,barents,north,barents,NO
Eumicrotremus derjugini,polar,arctic,arctic,12.2,3.25,0.2,2.9,-1.2,5,1038,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1033,4.1,NA,north,na,north,barents,NO
Eumicrotremus spinosus,polar,arctic,arctic,8.74,3.24,0.8,7.1,-1,30,400,NA,NA,hunting macrofauna (predator),NA,NA,demersal,370,8.1,NA,barents,north,north,barents,NO
Gymnelus retrodorsalis,temperate,arctic,arctic,14,3.2,-0.1,3.2,-1.6,8,481,NA,NA,NA,NA,NA,demersal,473,4.8,NA,north,barents,north,barents,NO
Gymnelus viridis,polar,arctic,arctic,56,3.06,-0.5,4.8,-1.5,0,320,NA,NA,hunting macrofauna (predator),NA,NA,demersal,320,6.3,NA,na,na,NA,NA,NO
Gymnocanthus tricuspis,polar,arctic,arctic,30,3.28,-0.6,1.8,-1.6,0,556,3030,5414,hunting macrofauna (predator),2.5,7.75,demersal,556,3.4,5737,north,barents,barents,barents,NO
Icelus bicornis,polar,arctic,arctic,19.15,3.13,0.2,4.6,-1.3,0,930,79,180,hunting macrofauna (predator),NA,NA,demersal,930,5.9,169,north,norwegian,north,north,NO
Liparis bathyarcticus,temperate,arctic,arctic,14,3.44,1.1,1.9,-0.7,400,647,NA,NA,NA,NA,NA,demersal,247,2.6,NA,north,north,north,barents,NO
Liparis fabricii,deep-water,arctic,arctic,21,3.33,0.7,4.6,-0.9,6,1880,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1874,5.5,NA,north,north,north,barents,NO
Liparis tunicatus,polar,arctic,arctic,16,3.5,-1.2,0.8,-1.8,0,620,NA,NA,hunting macrofauna (predator),NA,NA,demersal,620,2.6,NA,north,barents,north,norwegian,NO
Lycenchelys kolthoffi,deep-water,arctic,arctic,28.3,3.1,1.8,4.6,-0.1,202,930,NA,NA,NA,NA,16,demersal,728,4.7,NA,north,barents,north,barents,NO
Lycenchelys muraena,deep-water,arctic,arctic,27.57,3.5,3.4,6.6,-0.6,350,1700,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1350,7.2,NA,north,north,north,norwegian,NO
Lycodes adolfi,<NA>,arctic,arctic,29.28,3.25,3.5,3.9,-0.9,274,2150,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1876,4.8,NA,na,na,north,norwegian,NO
Lycodes eudipleurostictus,polar,arctic,arctic,54.29,3.5,0.8,4,-0.9,25,1187,NA,NA,hunting macrofauna (predator),NA,NA,demersal,1162,4.9,NA,north,norwegian,barents,norwegian,NO
Lycodes frigidus,deep-water,arctic,arctic,69,4.47,-0.7,3.6,-0.9,475,3000,NA,NA,hunting macrofauna (predator),NA,NA,demersal,2525,4.5,NA,north,norwegian,north,norwegian,NO
Lycodes luetkenii,<NA>,arctic,arctic,43.31,3.95,-0.5,5.9,-0.8,112,1463,NA,NA,NA,NA,NA,demersal,1351,6.7,NA,north,norwegian,barents,norwegian,NO
Lycodes paamiuti,deep-water,arctic,arctic,29.28,3.39,1.5,4.6,-0.4,122,1450,NA,NA,NA,NA,NA,demersal,1328,5,NA,north,norwergian,barents,norwegian,NO
