Family,Genus,Species,Author
Myxiniformes,Myxinidae,Myxine glutinosa,Linnaeus 1758
Petromyzontiformes,Petromyzontidae,Lethenteron camtschaticum,(Tilesius 1811)
Petromyzontiformes,Petromyzontidae,Petromyzon marinus,Linnaeus 1758
Squaliformes,Dalatiidae,Etmopterus spinax,(Linnaeus 1758)
Squaliformes,Somniosidae,Somniosus microcephalus,(Bloch & Schneider 1801)
Rajiformes,Arhynchobatidae,Bathyraja spinicauda,(Jensen 1914)
Rajiformes,Rajidae,Amblyraja hyperborea,(Collett 1879)
Rajiformes,Rajidae,Amblyraja radiata,(Donovan 1808)
Rajiformes,Rajidae,Rajella fyllae,(Lütken 1887)
Rajiformes,Rajidae,Rajella lintea,(Fries 1838)
Chimaeriformes,Chimaeridae,Chimaera monstrosa,Linnaeus 1758
Anguilliformes,Synaphobranchidae,Diastobranchus capensis,Barnard 1923
Clupeiformes,Clupeidae,Clupea harengus,Linnaeus 1758
Clupeiformes,Clupeidae,Clupea pallasii,Rabinerson 1927
Osmeriformes,Argentinidae,Argentina silus,(Ascanius 1775)
Osmeriformes,Microstomatidae,Nansenia groenlandica,(Reinhardt 1840)
Osmeriformes,Alepocephalidae,Xenodermichthys copei,(Gill 1884)
Osmeriformes,Osmeridae,Mallotus villosus,(Müller 1776)
Osmeriformes,Osmeridae,Osmerus mordax dentex,Steindachner & Kner 1870
Salmoniformes,Salmonidae,Oncorhynchus gorbuscha,(Walbaum 1792)
Salmoniformes,Salmonidae,Salmo salar,Linnaeus 1758
Stomiiformes,Sternoptychidae,Maurolicus muelleri,(Gmelin 1789)
Stomiiformes,Sternoptychidae,Sternoptychidae,
Aulopiformes,Paralepididae,Arctozenus risso,(Bonaparte 1840)
Myctophiformes,Myctophidae,Myctophidae,
Lampriformes,Trachipteridae,Trachipterus arcticus,(Brünnich 1788)
Gadiformes,Macrouridae,Coelorinchus labiatus,(Köhler 1896)
Gadiformes,Macrouridae,Coryphaenoides rupestris,Gunnerus 1765
Gadiformes,Macrouridae,Macrourus berglax,Lacepède 1801
Gadiformes,Gadidae,Arctogadus glacialis,(Peters 1872)
Gadiformes,Gadidae,Boreogadus saida,(Lepechin 1774)
Gadiformes,Gadidae,Eleginus nawaga,(Walbaum 1792)
Gadiformes,Gadidae,Gadiculus argenteus,Guichenot 1850
Gadiformes,Gadidae,Gadus chalcogrammus,Pallas 1814
Gadiformes,Gadidae,Gadus morhua,Linnaeus 1758
Gadiformes,Gadidae,Melanogrammus aeglefinus,(Linnaeus 1758)
Gadiformes,Gadidae,Merlangius merlangus,(Linnaeus 1758)
Gadiformes,Gadidae,Micromesistius poutassou,(Risso 1827)
Gadiformes,Gadidae,Pollachius pollachius,(Linnaeus 1758)
Gadiformes,Gadidae,Pollachius virens,(Linnaeus 1758)
Gadiformes,Gadidae,Trisopterus esmarkii,(Nilsson 1855)
Gadiformes,Gadidae,Trisopterus minutus,(Linnaeus 1758)
Gadiformes,Lotidae,Brosme brosme,(Ascanius 1772)
Gadiformes,Lotidae,Ciliata mustela,(Linnaeus 1758)
Gadiformes,Lotidae,Ciliata septentrionalis,(Collett 1875)
Gadiformes,Lotidae,Enchelyopus cimbrius,(Linnaeus 1766)
Gadiformes,Lotidae,Gaidropsarus argentatus,(Reinhardt 1837)
Gadiformes,Lotidae,Molva dypterygia,(Pennant 1784)
Gadiformes,Lotidae,Molva molva,(Linnaeus 1758)
Gadiformes,Phycidae,Phycis blennoides,(Brünnich 1768)
Gadiformes,Merlucciidae,Merluccius merluccius,(Linnaeus 1758)
Ophidiiformes,Carapidae,Echiodon drummondii,Thompson 1837
Lophiiformes,Lophiidae,Lophius piscatorius,Linnaeus 1758
Beloniformes,Belonidae,Belone belone,(Linnaeus 1760)
Gasterosteiformes,Gasterosteidae,Gasterosteus aculeatus,Linnaeus 1758
Gasterosteiformes,Gasterosteidae,Pungitius pungitius,(Linnaeus 1758)
Syngnathiformes,Syngnathidae,Syngnathidae,
Scorpaeniformes,Scorpaenidae,Sebastes mentella,Travin 1951
Scorpaeniformes,Scorpaenidae,Sebastes norvegicus,(Ascanius 1772)
Scorpaeniformes,Scorpaenidae,Sebastes viviparus,Krøyer 1845
Scorpaeniformes,Scorpaenidae,Sebastes spp,
Scorpaeniformes,Triglidae,Eutrigla gurnardus,(Linnaeus 1758)
Scorpaeniformes,Cottidae,Artediellus atlanticus,Jordan & Evermann 1898
Scorpaeniformes,Cottidae,Artediellus scaber,Knipowitsch 1907
Scorpaeniformes,Cottidae,Gymnocanthus tricuspis,(Reinhardt 1830)
Scorpaeniformes,Cottidae,Icelus spp,
Scorpaeniformes,Cottidae,Myoxocephalus quadricornis,(Linnaeus 1758)
Scorpaeniformes,Cottidae,Myoxocephalus scorpius,(Mitchell 1814)
Scorpaeniformes,Cottidae,Triglops murrayi,Günther 1888
Scorpaeniformes,Cottidae,Triglops nybelini,Jensen 1944
Scorpaeniformes,Cottidae,Triglops pingelii,Reinhardt 1837
Scorpaeniformes,Psychrolutidae,Cottunculus microps,Collett 1875
Scorpaeniformes,Agonidae,Agonus cataphractus,(Linnaeus 1758)
Scorpaeniformes,Agonidae,Aspidophoroides olrikii,Lütken 1877
Scorpaeniformes,Agonidae,Leptagonus decagonus,(Bloch & Schneider 1801)
Scorpaeniformes,Cyclopteridae,Cyclopteropsis macalpini,(Fowler 1914)
Scorpaeniformes,Cyclopteridae,Cyclopterus lumpus,Linnaeus 1758
Scorpaeniformes,Cyclopteridae,Eumicrotremus derjugini,Popov 1926
Scorpaeniformes,Cyclopteridae,Eumicrotremus spinosus,(Fabricius 1776)
